"Y"	"t.k"	"r.i"	"L"	"Env"	"G"	"Rep"	"Group"	"GG"	"Yield"
"724"	"2005-2006"	2005	1983	"Rangpur"	"2005-2006-Rangpur"	"BR12"	"3"	"Long"	"Long-BR12"	3.46
"725"	"2005-2006"	2005	1983	"Satkhira"	"2005-2006-Satkhira"	"BR12"	"3"	"Long"	"Long-BR12"	5.43
"726"	"2005-2006"	2005	1983	"Kustia"	"2005-2006-Kustia"	"BR12"	"3"	"Long"	"Long-BR12"	5.34
"727"	"2006-2007"	2006	1983	"Barisal"	"2006-2007-Barisal"	"BR12"	"3"	"Long"	"Long-BR12"	5.16
"728"	"2006-2007"	2006	1983	"Bhanga"	"2006-2007-Bhanga"	"BR12"	"3"	"Long"	"Long-BR12"	6.64
"729"	"2006-2007"	2006	1983	"Comilla"	"2006-2007-Comilla"	"BR12"	"3"	"Long"	"Long-BR12"	5.28
"730"	"2006-2007"	2006	1983	"Gazipur"	"2006-2007-Gazipur"	"BR12"	"3"	"Long"	"Long-BR12"	4.67
"731"	"2006-2007"	2006	1983	"Habiganj"	"2006-2007-Habiganj"	"BR12"	"3"	"Long"	"Long-BR12"	5.22
"732"	"2006-2007"	2006	1983	"Rajshahi"	"2006-2007-Rajshahi"	"BR12"	"3"	"Long"	"Long-BR12"	5.2
"733"	"2006-2007"	2006	1983	"Kustia"	"2006-2007-Kustia"	"BR12"	"3"	"Long"	"Long-BR12"	6.05
"734"	"2006-2007"	2006	1983	"Rangpur"	"2006-2007-Rangpur"	"BR12"	"3"	"Long"	"Long-BR12"	4.71
"735"	"2006-2007"	2006	1983	"Satkhira"	"2006-2007-Satkhira"	"BR12"	"3"	"Long"	"Long-BR12"	6.09
"736"	"2007-2008"	2007	1983	"Barisal"	"2007-2008-Barisal"	"BR12"	"3"	"Long"	"Long-BR12"	5.15
"737"	"2007-2008"	2007	1983	"Bhanga"	"2007-2008-Bhanga"	"BR12"	"3"	"Long"	"Long-BR12"	6.21
"738"	"2007-2008"	2007	1983	"Comilla"	"2007-2008-Comilla"	"BR12"	"3"	"Long"	"Long-BR12"	7.99
"739"	"2007-2008"	2007	1983	"Gazipur"	"2007-2008-Gazipur"	"BR12"	"3"	"Long"	"Long-BR12"	4.4
"740"	"2007-2008"	2007	1983	"Habiganj"	"2007-2008-Habiganj"	"BR12"	"3"	"Long"	"Long-BR12"	5.22
"741"	"2007-2008"	2007	1983	"Rangpur"	"2007-2008-Rangpur"	"BR12"	"3"	"Long"	"Long-BR12"	2.45
"742"	"2007-2008"	2007	1983	"Satkhira"	"2007-2008-Satkhira"	"BR12"	"3"	"Long"	"Long-BR12"	4.76
"743"	"2007-2008"	2007	1983	"Kustia"	"2007-2008-Kustia"	"BR12"	"3"	"Long"	"Long-BR12"	4.85
"744"	"2007-2008"	2007	1983	"Rajshahi"	"2007-2008-Rajshahi"	"BR12"	"3"	"Long"	"Long-BR12"	4.14
"745"	"2008-2009"	2008	1983	"Barisal"	"2008-2009-Barisal"	"BR12"	"3"	"Long"	"Long-BR12"	5.27
"746"	"2008-2009"	2008	1983	"Bhanga"	"2008-2009-Bhanga"	"BR12"	"3"	"Long"	"Long-BR12"	6.43
"747"	"2008-2009"	2008	1983	"Comilla"	"2008-2009-Comilla"	"BR12"	"3"	"Long"	"Long-BR12"	4.87
"748"	"2008-2009"	2008	1983	"Gazipur"	"2008-2009-Gazipur"	"BR12"	"3"	"Long"	"Long-BR12"	5.05
"749"	"2008-2009"	2008	1983	"Habiganj"	"2008-2009-Habiganj"	"BR12"	"3"	"Long"	"Long-BR12"	5.9
"750"	"2008-2009"	2008	1983	"Rajshahi"	"2008-2009-Rajshahi"	"BR12"	"3"	"Long"	"Long-BR12"	3.07
"751"	"2008-2009"	2008	1983	"Rangpur"	"2008-2009-Rangpur"	"BR12"	"3"	"Long"	"Long-BR12"	2.6
"752"	"2008-2009"	2008	1983	"Kustia"	"2008-2009-Kustia"	"BR12"	"3"	"Long"	"Long-BR12"	6.35
"753"	"2008-2009"	2008	1983	"Satkhira"	"2008-2009-Satkhira"	"BR12"	"3"	"Long"	"Long-BR12"	3.43
"754"	"2009-2010"	2009	1983	"Barisal"	"2009-2010-Barisal"	"BR12"	"3"	"Long"	"Long-BR12"	5.4
"755"	"2009-2010"	2009	1983	"Bhanga"	"2009-2010-Bhanga"	"BR12"	"3"	"Long"	"Long-BR12"	6.2
"756"	"2009-2010"	2009	1983	"Comilla"	"2009-2010-Comilla"	"BR12"	"3"	"Long"	"Long-BR12"	5.54
"757"	"2009-2010"	2009	1983	"Gazipur"	"2009-2010-Gazipur"	"BR12"	"3"	"Long"	"Long-BR12"	3.45
"758"	"2009-2010"	2009	1983	"Habiganj"	"2009-2010-Habiganj"	"BR12"	"3"	"Long"	"Long-BR12"	5.6
"759"	"2009-2010"	2009	1983	"Rajshahi"	"2009-2010-Rajshahi"	"BR12"	"3"	"Long"	"Long-BR12"	3.6
"760"	"2009-2010"	2009	1983	"Rangpur"	"2009-2010-Rangpur"	"BR12"	"3"	"Long"	"Long-BR12"	2.43
"761"	"2009-2010"	2009	1983	"Satkhira"	"2009-2010-Satkhira"	"BR12"	"3"	"Long"	"Long-BR12"	4.21
"762"	"2009-2010"	2009	1983	"Kustia"	"2009-2010-Kustia"	"BR12"	"3"	"Long"	"Long-BR12"	4.95
"763"	"2010-2011"	2010	1983	"Barisal"	"2010-2011-Barisal"	"BR12"	"3"	"Long"	"Long-BR12"	4.21
"764"	"2010-2011"	2010	1983	"Bhanga"	"2010-2011-Bhanga"	"BR12"	"3"	"Long"	"Long-BR12"	5.97
"765"	"2010-2011"	2010	1983	"Comilla"	"2010-2011-Comilla"	"BR12"	"3"	"Long"	"Long-BR12"	5.38
"766"	"2010-2011"	2010	1983	"Gazipur"	"2010-2011-Gazipur"	"BR12"	"3"	"Long"	"Long-BR12"	3.2
"767"	"2010-2011"	2010	1983	"Habiganj"	"2010-2011-Habiganj"	"BR12"	"3"	"Long"	"Long-BR12"	5.3
"768"	"2010-2011"	2010	1983	"Rangpur"	"2010-2011-Rangpur"	"BR12"	"3"	"Long"	"Long-BR12"	2.25
"769"	"2010-2011"	2010	1983	"Satkhira"	"2010-2011-Satkhira"	"BR12"	"3"	"Long"	"Long-BR12"	5
"770"	"2010-2011"	2010	1983	"Sonagazi"	"2010-2011-Sonagazi"	"BR12"	"3"	"Long"	"Long-BR12"	5.7
"771"	"2010-2011"	2010	1983	"Kustia"	"2010-2011-Kustia"	"BR12"	"3"	"Long"	"Long-BR12"	3.54
"772"	"2010-2011"	2010	1983	"Rajshahi"	"2010-2011-Rajshahi"	"BR12"	"3"	"Long"	"Long-BR12"	4.34
"773"	"2011-2012"	2011	1983	"Barisal"	"2011-2012-Barisal"	"BR12"	"3"	"Long"	"Long-BR12"	4.21
"774"	"2011-2012"	2011	1983	"Bhanga"	"2011-2012-Bhanga"	"BR12"	"3"	"Long"	"Long-BR12"	5.97
"775"	"2011-2012"	2011	1983	"Comilla"	"2011-2012-Comilla"	"BR12"	"3"	"Long"	"Long-BR12"	4.75
"776"	"2011-2012"	2011	1983	"Gazipur"	"2011-2012-Gazipur"	"BR12"	"3"	"Long"	"Long-BR12"	5.07
"777"	"2011-2012"	2011	1983	"Habiganj"	"2011-2012-Habiganj"	"BR12"	"3"	"Long"	"Long-BR12"	5.3
"778"	"2011-2012"	2011	1983	"Rangpur"	"2011-2012-Rangpur"	"BR12"	"3"	"Long"	"Long-BR12"	2.25
"779"	"2011-2012"	2011	1983	"Satkhira"	"2011-2012-Satkhira"	"BR12"	"3"	"Long"	"Long-BR12"	6.18
"780"	"2011-2012"	2011	1983	"Sonagazi"	"2011-2012-Sonagazi"	"BR12"	"3"	"Long"	"Long-BR12"	5.7
"781"	"2011-2012"	2011	1983	"Kustia"	"2011-2012-Kustia"	"BR12"	"3"	"Long"	"Long-BR12"	3.54
"782"	"2011-2012"	2011	1983	"Rajshahi"	"2011-2012-Rajshahi"	"BR12"	"3"	"Long"	"Long-BR12"	5.08
"783"	"2012-2013"	2012	1983	"Barisal"	"2012-2013-Barisal"	"BR12"	"3"	"Long"	"Long-BR12"	4.54
"784"	"2012-2013"	2012	1983	"Bhanga"	"2012-2013-Bhanga"	"BR12"	"3"	"Long"	"Long-BR12"	6.44
"785"	"2012-2013"	2012	1983	"Comilla"	"2012-2013-Comilla"	"BR12"	"3"	"Long"	"Long-BR12"	4.37
"786"	"2012-2013"	2012	1983	"Gazipur"	"2012-2013-Gazipur"	"BR12"	"3"	"Long"	"Long-BR12"	5.26
"787"	"2012-2013"	2012	1983	"Habiganj"	"2012-2013-Habiganj"	"BR12"	"3"	"Long"	"Long-BR12"	5.35
"788"	"2012-2013"	2012	1983	"Rangpur"	"2012-2013-Rangpur"	"BR12"	"3"	"Long"	"Long-BR12"	5.3
"789"	"2012-2013"	2012	1983	"Satkhira"	"2012-2013-Satkhira"	"BR12"	"3"	"Long"	"Long-BR12"	6.6
"790"	"2012-2013"	2012	1983	"Sonagazi"	"2012-2013-Sonagazi"	"BR12"	"3"	"Long"	"Long-BR12"	3.22
"791"	"2012-2013"	2012	1983	"Kustia"	"2012-2013-Kustia"	"BR12"	"3"	"Long"	"Long-BR12"	5.13
"792"	"2012-2013"	2012	1983	"Rajshahi"	"2012-2013-Rajshahi"	"BR12"	"3"	"Long"	"Long-BR12"	5.9
"793"	"2013-2014"	2013	1983	"Barisal"	"2013-2014-Barisal"	"BR12"	"3"	"Long"	"Long-BR12"	4.87
"794"	"2013-2014"	2013	1983	"Bhanga"	"2013-2014-Bhanga"	"BR12"	"3"	"Long"	"Long-BR12"	6.2
"795"	"2013-2014"	2013	1983	"Comilla"	"2013-2014-Comilla"	"BR12"	"3"	"Long"	"Long-BR12"	4.13
"796"	"2013-2014"	2013	1983	"Gazipur"	"2013-2014-Gazipur"	"BR12"	"3"	"Long"	"Long-BR12"	6
"797"	"2013-2014"	2013	1983	"Habiganj"	"2013-2014-Habiganj"	"BR12"	"3"	"Long"	"Long-BR12"	5.39
"798"	"2013-2014"	2013	1983	"Rangpur"	"2013-2014-Rangpur"	"BR12"	"3"	"Long"	"Long-BR12"	5.7
"799"	"2013-2014"	2013	1983	"Satkhira"	"2013-2014-Satkhira"	"BR12"	"3"	"Long"	"Long-BR12"	5.76
"800"	"2013-2014"	2013	1983	"Sonagazi"	"2013-2014-Sonagazi"	"BR12"	"3"	"Long"	"Long-BR12"	4.92
"801"	"2013-2014"	2013	1983	"Kustia"	"2013-2014-Kustia"	"BR12"	"3"	"Long"	"Long-BR12"	2.57
"802"	"2013-2014"	2013	1983	"Rajshahi"	"2013-2014-Rajshahi"	"BR12"	"3"	"Long"	"Long-BR12"	5.43
"803"	"2014-2015"	2014	1983	"Barisal"	"2014-2015-Barisal"	"BR12"	"3"	"Long"	"Long-BR12"	4.37
"804"	"2014-2015"	2014	1983	"Bhanga"	"2014-2015-Bhanga"	"BR12"	"3"	"Long"	"Long-BR12"	6.69
"805"	"2014-2015"	2014	1983	"Comilla"	"2014-2015-Comilla"	"BR12"	"3"	"Long"	"Long-BR12"	4.62
"806"	"2014-2015"	2014	1983	"Gazipur"	"2014-2015-Gazipur"	"BR12"	"3"	"Long"	"Long-BR12"	5.55
"807"	"2014-2015"	2014	1983	"Habiganj"	"2014-2015-Habiganj"	"BR12"	"3"	"Long"	"Long-BR12"	5.32
"808"	"2014-2015"	2014	1983	"Rangpur"	"2014-2015-Rangpur"	"BR12"	"3"	"Long"	"Long-BR12"	2.2
"809"	"2014-2015"	2014	1983	"Satkhira"	"2014-2015-Satkhira"	"BR12"	"3"	"Long"	"Long-BR12"	5.25
"810"	"2014-2015"	2014	1983	"Sonagazi"	"2014-2015-Sonagazi"	"BR12"	"3"	"Long"	"Long-BR12"	5.2
"811"	"2014-2015"	2014	1983	"Kustia"	"2014-2015-Kustia"	"BR12"	"3"	"Long"	"Long-BR12"	4.08
"812"	"2014-2015"	2014	1983	"Rajshahi"	"2014-2015-Rajshahi"	"BR12"	"3"	"Long"	"Long-BR12"	4.95
"813"	"2015-2016"	2015	1983	"Barisal"	"2015-2016-Barisal"	"BR12"	"3"	"Long"	"Long-BR12"	4.54
"814"	"2015-2016"	2015	1983	"Bhanga"	"2015-2016-Bhanga"	"BR12"	"3"	"Long"	"Long-BR12"	5.84
"815"	"2015-2016"	2015	1983	"Comilla"	"2015-2016-Comilla"	"BR12"	"3"	"Long"	"Long-BR12"	2.88
"816"	"2015-2016"	2015	1983	"Gazipur"	"2015-2016-Gazipur"	"BR12"	"3"	"Long"	"Long-BR12"	5.91
"817"	"2015-2016"	2015	1983	"Habiganj"	"2015-2016-Habiganj"	"BR12"	"3"	"Long"	"Long-BR12"	5.7
"818"	"2015-2016"	2015	1983	"Rangpur"	"2015-2016-Rangpur"	"BR12"	"3"	"Long"	"Long-BR12"	4.76
"819"	"2015-2016"	2015	1983	"Satkhira"	"2015-2016-Satkhira"	"BR12"	"3"	"Long"	"Long-BR12"	5.65
"820"	"2015-2016"	2015	1983	"Sonagazi"	"2015-2016-Sonagazi"	"BR12"	"3"	"Long"	"Long-BR12"	4.33
"821"	"2015-2016"	2015	1983	"Kustia"	"2015-2016-Kustia"	"BR12"	"3"	"Long"	"Long-BR12"	5.59
"822"	"2015-2016"	2015	1983	"Rajshahi"	"2015-2016-Rajshahi"	"BR12"	"3"	"Long"	"Long-BR12"	4.94
"823"	"2001-2002"	2001	1983	"Barisal"	"2001-2002-Barisal"	"BR14"	"1"	"Long"	"Long-BR14"	5.68
"824"	"2001-2002"	2001	1983	"Bhanga"	"2001-2002-Bhanga"	"BR14"	"1"	"Long"	"Long-BR14"	6.8
"825"	"2001-2002"	2001	1983	"Comilla"	"2001-2002-Comilla"	"BR14"	"1"	"Long"	"Long-BR14"	6.16
"826"	"2001-2002"	2001	1983	"Habiganj"	"2001-2002-Habiganj"	"BR14"	"1"	"Long"	"Long-BR14"	5.58
"827"	"2001-2002"	2001	1983	"Rajshahi"	"2001-2002-Rajshahi"	"BR14"	"1"	"Long"	"Long-BR14"	6.4
"828"	"2001-2002"	2001	1983	"Rangpur"	"2001-2002-Rangpur"	"BR14"	"1"	"Long"	"Long-BR14"	6.76
"829"	"2001-2002"	2001	1983	"Satkhira"	"2001-2002-Satkhira"	"BR14"	"1"	"Long"	"Long-BR14"	6.45
"830"	"2002-2003"	2002	1983	"Barisal"	"2002-2003-Barisal"	"BR14"	"1"	"Long"	"Long-BR14"	2.19
"831"	"2002-2003"	2002	1983	"Bhanga"	"2002-2003-Bhanga"	"BR14"	"1"	"Long"	"Long-BR14"	4.94
"832"	"2002-2003"	2002	1983	"Comilla"	"2002-2003-Comilla"	"BR14"	"1"	"Long"	"Long-BR14"	5.74
"833"	"2002-2003"	2002	1983	"Gazipur"	"2002-2003-Gazipur"	"BR14"	"1"	"Long"	"Long-BR14"	4.19
"834"	"2002-2003"	2002	1983	"Habiganj"	"2002-2003-Habiganj"	"BR14"	"1"	"Long"	"Long-BR14"	6.03
"835"	"2002-2003"	2002	1983	"Rajshahi"	"2002-2003-Rajshahi"	"BR14"	"1"	"Long"	"Long-BR14"	5.2
"836"	"2002-2003"	2002	1983	"Rangpur"	"2002-2003-Rangpur"	"BR14"	"1"	"Long"	"Long-BR14"	4.84
"837"	"2002-2003"	2002	1983	"Satkhira"	"2002-2003-Satkhira"	"BR14"	"1"	"Long"	"Long-BR14"	5.85
"838"	"2003-2004"	2003	1983	"Barisal"	"2003-2004-Barisal"	"BR14"	"1"	"Long"	"Long-BR14"	5.74
"839"	"2003-2004"	2003	1983	"Bhanga"	"2003-2004-Bhanga"	"BR14"	"1"	"Long"	"Long-BR14"	6.3
"840"	"2003-2004"	2003	1983	"Comilla"	"2003-2004-Comilla"	"BR14"	"1"	"Long"	"Long-BR14"	5.7
"841"	"2003-2004"	2003	1983	"Gazipur"	"2003-2004-Gazipur"	"BR14"	"1"	"Long"	"Long-BR14"	2.25
"842"	"2003-2004"	2003	1983	"Habiganj"	"2003-2004-Habiganj"	"BR14"	"1"	"Long"	"Long-BR14"	5.4
"843"	"2003-2004"	2003	1983	"Rajshahi"	"2003-2004-Rajshahi"	"BR14"	"1"	"Long"	"Long-BR14"	1.99
"844"	"2003-2004"	2003	1983	"Rangpur"	"2003-2004-Rangpur"	"BR14"	"1"	"Long"	"Long-BR14"	5.32
"845"	"2003-2004"	2003	1983	"Satkhira"	"2003-2004-Satkhira"	"BR14"	"1"	"Long"	"Long-BR14"	6.29
"846"	"2004-2005"	2004	1983	"Barisal"	"2004-2005-Barisal"	"BR14"	"1"	"Long"	"Long-BR14"	6.53
"847"	"2004-2005"	2004	1983	"Bhanga"	"2004-2005-Bhanga"	"BR14"	"1"	"Long"	"Long-BR14"	6.84
"848"	"2004-2005"	2004	1983	"Comilla"	"2004-2005-Comilla"	"BR14"	"1"	"Long"	"Long-BR14"	6.26
"849"	"2004-2005"	2004	1983	"Gazipur"	"2004-2005-Gazipur"	"BR14"	"1"	"Long"	"Long-BR14"	3.92
"850"	"2004-2005"	2004	1983	"Habiganj"	"2004-2005-Habiganj"	"BR14"	"1"	"Long"	"Long-BR14"	6.48
"851"	"2004-2005"	2004	1983	"Rajshahi"	"2004-2005-Rajshahi"	"BR14"	"1"	"Long"	"Long-BR14"	4.86
"852"	"2004-2005"	2004	1983	"Rangpur"	"2004-2005-Rangpur"	"BR14"	"1"	"Long"	"Long-BR14"	5.44
"853"	"2004-2005"	2004	1983	"Satkhira"	"2004-2005-Satkhira"	"BR14"	"1"	"Long"	"Long-BR14"	6.73
"854"	"2004-2005"	2004	1983	"Kustia"	"2004-2005-Kustia"	"BR14"	"1"	"Long"	"Long-BR14"	5.78
"855"	"2005-2006"	2005	1983	"Barisal"	"2005-2006-Barisal"	"BR14"	"1"	"Long"	"Long-BR14"	7.38
"856"	"2005-2006"	2005	1983	"Bhanga"	"2005-2006-Bhanga"	"BR14"	"1"	"Long"	"Long-BR14"	6
"857"	"2005-2006"	2005	1983	"Comilla"	"2005-2006-Comilla"	"BR14"	"1"	"Long"	"Long-BR14"	6.2
"858"	"2005-2006"	2005	1983	"Gazipur"	"2005-2006-Gazipur"	"BR14"	"1"	"Long"	"Long-BR14"	5.76
"859"	"2005-2006"	2005	1983	"Habiganj"	"2005-2006-Habiganj"	"BR14"	"1"	"Long"	"Long-BR14"	7.3
"860"	"2005-2006"	2005	1983	"Rajshahi"	"2005-2006-Rajshahi"	"BR14"	"1"	"Long"	"Long-BR14"	5.39
"861"	"2005-2006"	2005	1983	"Rangpur"	"2005-2006-Rangpur"	"BR14"	"1"	"Long"	"Long-BR14"	4.12
"862"	"2005-2006"	2005	1983	"Satkhira"	"2005-2006-Satkhira"	"BR14"	"1"	"Long"	"Long-BR14"	6.01
"863"	"2005-2006"	2005	1983	"Kustia"	"2005-2006-Kustia"	"BR14"	"1"	"Long"	"Long-BR14"	5.69
"864"	"2006-2007"	2006	1983	"Barisal"	"2006-2007-Barisal"	"BR14"	"1"	"Long"	"Long-BR14"	5.5
"865"	"2006-2007"	2006	1983	"Bhanga"	"2006-2007-Bhanga"	"BR14"	"1"	"Long"	"Long-BR14"	7.25
"866"	"2006-2007"	2006	1983	"Comilla"	"2006-2007-Comilla"	"BR14"	"1"	"Long"	"Long-BR14"	5.38
"867"	"2006-2007"	2006	1983	"Gazipur"	"2006-2007-Gazipur"	"BR14"	"1"	"Long"	"Long-BR14"	5.37
"868"	"2006-2007"	2006	1983	"Habiganj"	"2006-2007-Habiganj"	"BR14"	"1"	"Long"	"Long-BR14"	6.51
"869"	"2006-2007"	2006	1983	"Rajshahi"	"2006-2007-Rajshahi"	"BR14"	"1"	"Long"	"Long-BR14"	4.8
"870"	"2006-2007"	2006	1983	"Kustia"	"2006-2007-Kustia"	"BR14"	"1"	"Long"	"Long-BR14"	7.14
"871"	"2006-2007"	2006	1983	"Rangpur"	"2006-2007-Rangpur"	"BR14"	"1"	"Long"	"Long-BR14"	5.88
"872"	"2006-2007"	2006	1983	"Satkhira"	"2006-2007-Satkhira"	"BR14"	"1"	"Long"	"Long-BR14"	5.61
"873"	"2007-2008"	2007	1983	"Barisal"	"2007-2008-Barisal"	"BR14"	"1"	"Long"	"Long-BR14"	5.98
"874"	"2007-2008"	2007	1983	"Bhanga"	"2007-2008-Bhanga"	"BR14"	"1"	"Long"	"Long-BR14"	7.15
"875"	"2007-2008"	2007	1983	"Comilla"	"2007-2008-Comilla"	"BR14"	"1"	"Long"	"Long-BR14"	7.98
"876"	"2007-2008"	2007	1983	"Gazipur"	"2007-2008-Gazipur"	"BR14"	"1"	"Long"	"Long-BR14"	4.4
"877"	"2007-2008"	2007	1983	"Habiganj"	"2007-2008-Habiganj"	"BR14"	"1"	"Long"	"Long-BR14"	6.51
"878"	"2007-2008"	2007	1983	"Rangpur"	"2007-2008-Rangpur"	"BR14"	"1"	"Long"	"Long-BR14"	2.3
"879"	"2007-2008"	2007	1983	"Satkhira"	"2007-2008-Satkhira"	"BR14"	"1"	"Long"	"Long-BR14"	7
"880"	"2007-2008"	2007	1983	"Kustia"	"2007-2008-Kustia"	"BR14"	"1"	"Long"	"Long-BR14"	6.25
"881"	"2007-2008"	2007	1983	"Rajshahi"	"2007-2008-Rajshahi"	"BR14"	"1"	"Long"	"Long-BR14"	4.67
"882"	"2008-2009"	2008	1983	"Barisal"	"2008-2009-Barisal"	"BR14"	"1"	"Long"	"Long-BR14"	6.17
"883"	"2008-2009"	2008	1983	"Bhanga"	"2008-2009-Bhanga"	"BR14"	"1"	"Long"	"Long-BR14"	7.2
"884"	"2008-2009"	2008	1983	"Comilla"	"2008-2009-Comilla"	"BR14"	"1"	"Long"	"Long-BR14"	5.85
"885"	"2008-2009"	2008	1983	"Gazipur"	"2008-2009-Gazipur"	"BR14"	"1"	"Long"	"Long-BR14"	4.9
"886"	"2008-2009"	2008	1983	"Habiganj"	"2008-2009-Habiganj"	"BR14"	"1"	"Long"	"Long-BR14"	7.5
"887"	"2008-2009"	2008	1983	"Rajshahi"	"2008-2009-Rajshahi"	"BR14"	"1"	"Long"	"Long-BR14"	4.53
"888"	"2008-2009"	2008	1983	"Rangpur"	"2008-2009-Rangpur"	"BR14"	"1"	"Long"	"Long-BR14"	3.2
"889"	"2008-2009"	2008	1983	"Kustia"	"2008-2009-Kustia"	"BR14"	"1"	"Long"	"Long-BR14"	8.1
"890"	"2008-2009"	2008	1983	"Satkhira"	"2008-2009-Satkhira"	"BR14"	"1"	"Long"	"Long-BR14"	6.31
"891"	"2009-2010"	2009	1983	"Barisal"	"2009-2010-Barisal"	"BR14"	"1"	"Long"	"Long-BR14"	6.35
"892"	"2009-2010"	2009	1983	"Bhanga"	"2009-2010-Bhanga"	"BR14"	"1"	"Long"	"Long-BR14"	7.96
"893"	"2009-2010"	2009	1983	"Comilla"	"2009-2010-Comilla"	"BR14"	"1"	"Long"	"Long-BR14"	6.43
"894"	"2009-2010"	2009	1983	"Gazipur"	"2009-2010-Gazipur"	"BR14"	"1"	"Long"	"Long-BR14"	4.45
"895"	"2009-2010"	2009	1983	"Habiganj"	"2009-2010-Habiganj"	"BR14"	"1"	"Long"	"Long-BR14"	6.95
"896"	"2009-2010"	2009	1983	"Rajshahi"	"2009-2010-Rajshahi"	"BR14"	"1"	"Long"	"Long-BR14"	4.6
"897"	"2009-2010"	2009	1983	"Rangpur"	"2009-2010-Rangpur"	"BR14"	"1"	"Long"	"Long-BR14"	4.6
"898"	"2009-2010"	2009	1983	"Satkhira"	"2009-2010-Satkhira"	"BR14"	"1"	"Long"	"Long-BR14"	6.65
"899"	"2009-2010"	2009	1983	"Kustia"	"2009-2010-Kustia"	"BR14"	"1"	"Long"	"Long-BR14"	6.53
"900"	"2010-2011"	2010	1983	"Barisal"	"2010-2011-Barisal"	"BR14"	"1"	"Long"	"Long-BR14"	5.35
"901"	"2010-2011"	2010	1983	"Bhanga"	"2010-2011-Bhanga"	"BR14"	"1"	"Long"	"Long-BR14"	8.71
"902"	"2010-2011"	2010	1983	"Comilla"	"2010-2011-Comilla"	"BR14"	"1"	"Long"	"Long-BR14"	6.1
"903"	"2010-2011"	2010	1983	"Gazipur"	"2010-2011-Gazipur"	"BR14"	"1"	"Long"	"Long-BR14"	2.55
"904"	"2010-2011"	2010	1983	"Habiganj"	"2010-2011-Habiganj"	"BR14"	"1"	"Long"	"Long-BR14"	6.4
"905"	"2010-2011"	2010	1983	"Rangpur"	"2010-2011-Rangpur"	"BR14"	"1"	"Long"	"Long-BR14"	2.7
"906"	"2010-2011"	2010	1983	"Satkhira"	"2010-2011-Satkhira"	"BR14"	"1"	"Long"	"Long-BR14"	7
"907"	"2010-2011"	2010	1983	"Sonagazi"	"2010-2011-Sonagazi"	"BR14"	"1"	"Long"	"Long-BR14"	6
"908"	"2010-2011"	2010	1983	"Kustia"	"2010-2011-Kustia"	"BR14"	"1"	"Long"	"Long-BR14"	4.95
"909"	"2010-2011"	2010	1983	"Rajshahi"	"2010-2011-Rajshahi"	"BR14"	"1"	"Long"	"Long-BR14"	5.61
"910"	"2011-2012"	2011	1983	"Barisal"	"2011-2012-Barisal"	"BR14"	"1"	"Long"	"Long-BR14"	5.35
"911"	"2011-2012"	2011	1983	"Bhanga"	"2011-2012-Bhanga"	"BR14"	"1"	"Long"	"Long-BR14"	8.71
"912"	"2011-2012"	2011	1983	"Comilla"	"2011-2012-Comilla"	"BR14"	"1"	"Long"	"Long-BR14"	5.65
"913"	"2011-2012"	2011	1983	"Gazipur"	"2011-2012-Gazipur"	"BR14"	"1"	"Long"	"Long-BR14"	5.46
"914"	"2011-2012"	2011	1983	"Habiganj"	"2011-2012-Habiganj"	"BR14"	"1"	"Long"	"Long-BR14"	6.4
"915"	"2011-2012"	2011	1983	"Rangpur"	"2011-2012-Rangpur"	"BR14"	"1"	"Long"	"Long-BR14"	2.7
"916"	"2011-2012"	2011	1983	"Satkhira"	"2011-2012-Satkhira"	"BR14"	"1"	"Long"	"Long-BR14"	6.43
"917"	"2011-2012"	2011	1983	"Sonagazi"	"2011-2012-Sonagazi"	"BR14"	"1"	"Long"	"Long-BR14"	6
"918"	"2011-2012"	2011	1983	"Kustia"	"2011-2012-Kustia"	"BR14"	"1"	"Long"	"Long-BR14"	4.95
"919"	"2011-2012"	2011	1983	"Rajshahi"	"2011-2012-Rajshahi"	"BR14"	"1"	"Long"	"Long-BR14"	6.62
"920"	"2012-2013"	2012	1983	"Barisal"	"2012-2013-Barisal"	"BR14"	"1"	"Long"	"Long-BR14"	5.65
"921"	"2012-2013"	2012	1983	"Bhanga"	"2012-2013-Bhanga"	"BR14"	"1"	"Long"	"Long-BR14"	8.37
"922"	"2012-2013"	2012	1983	"Comilla"	"2012-2013-Comilla"	"BR14"	"1"	"Long"	"Long-BR14"	5.25
"923"	"2012-2013"	2012	1983	"Gazipur"	"2012-2013-Gazipur"	"BR14"	"1"	"Long"	"Long-BR14"	4.93
"924"	"2012-2013"	2012	1983	"Habiganj"	"2012-2013-Habiganj"	"BR14"	"1"	"Long"	"Long-BR14"	6.28
"925"	"2012-2013"	2012	1983	"Rangpur"	"2012-2013-Rangpur"	"BR14"	"1"	"Long"	"Long-BR14"	6.3
"926"	"2012-2013"	2012	1983	"Satkhira"	"2012-2013-Satkhira"	"BR14"	"1"	"Long"	"Long-BR14"	7
"927"	"2012-2013"	2012	1983	"Sonagazi"	"2012-2013-Sonagazi"	"BR14"	"1"	"Long"	"Long-BR14"	7.83
"928"	"2012-2013"	2012	1983	"Kustia"	"2012-2013-Kustia"	"BR14"	"1"	"Long"	"Long-BR14"	5.88
"929"	"2012-2013"	2012	1983	"Rajshahi"	"2012-2013-Rajshahi"	"BR14"	"1"	"Long"	"Long-BR14"	5.53
