"Y"	"tj"	"ri"	"L"	"Env"	"G"	"Rep"	"Group"	"Yield"
"2013"	2013	1988	"Gazipur"	"2013-Gazipur"	"BR23"	"1"	"Long"	5.54
"2013"	2013	1988	"Rajshahi"	"2013-Rajshahi"	"BR23"	"1"	"Long"	3.99
"2013"	2013	1988	"Rangpur"	"2013-Rangpur"	"BR23"	"1"	"Long"	1.7
"2013"	2013	1988	"Barisal"	"2013-Barisal"	"BR23"	"1"	"Long"	4.89
"2014"	2014	1988	"Kustia"	"2014-Kustia"	"BR23"	"1"	"Long"	5.02
"2014"	2014	1988	"Sonagazi"	"2014-Sonagazi"	"BR23"	"1"	"Long"	4.02
"2014"	2014	1988	"Comilla"	"2014-Comilla"	"BR23"	"1"	"Long"	4.85
"2014"	2014	1988	"Gazipur"	"2014-Gazipur"	"BR23"	"1"	"Long"	5.5
"2014"	2014	1988	"Rajshahi"	"2014-Rajshahi"	"BR23"	"1"	"Long"	3.816162791
"2014"	2014	1988	"Rangpur"	"2014-Rangpur"	"BR23"	"1"	"Long"	2.9
"2014"	2014	1988	"Satkhira"	"2014-Satkhira"	"BR23"	"1"	"Long"	5.37
"2014"	2014	1988	"Bhanga"	"2014-Bhanga"	"BR23"	"1"	"Long"	4.625
"2015"	2015	1988	"Kustia"	"2015-Kustia"	"BR23"	"1"	"Long"	4.96
"2015"	2015	1988	"Sonagazi"	"2015-Sonagazi"	"BR23"	"1"	"Long"	4.595237209
"2015"	2015	1988	"Comilla"	"2015-Comilla"	"BR23"	"1"	"Long"	5.002631831
"2015"	2015	1988	"Gazipur"	"2015-Gazipur"	"BR23"	"1"	"Long"	5.605970777
"2015"	2015	1988	"Rajshahi"	"2015-Rajshahi"	"BR23"	"1"	"Long"	3.434883721
"2015"	2015	1988	"Rangpur"	"2015-Rangpur"	"BR23"	"1"	"Long"	1.05
"2015"	2015	1988	"Satkhira"	"2015-Satkhira"	"BR23"	"1"	"Long"	4.254263566
"2015"	2015	1988	"Bhanga"	"2015-Bhanga"	"BR23"	"1"	"Long"	5.5
"2001"	2001	1988	"Barisal"	"2001-Barisal"	"BR23"	"2"	"Long"	4.67
"2001"	2001	1988	"Comilla"	"2001-Comilla"	"BR23"	"2"	"Long"	4.593488372
"2001"	2001	1988	"Gazipur"	"2001-Gazipur"	"BR23"	"2"	"Long"	4.39255814
"2001"	2001	1988	"Rajshahi"	"2001-Rajshahi"	"BR23"	"2"	"Long"	4.22
"2001"	2001	1988	"Rangpur"	"2001-Rangpur"	"BR23"	"2"	"Long"	2.925930233
"2001"	2001	1988	"Satkhira"	"2001-Satkhira"	"BR23"	"2"	"Long"	5.994360465
"2001"	2001	1988	"Sonagazi"	"2001-Sonagazi"	"BR23"	"2"	"Long"	4.39255814
"2002"	2002	1988	"Barisal"	"2002-Barisal"	"BR23"	"2"	"Long"	5.2
"2002"	2002	1988	"Comilla"	"2002-Comilla"	"BR23"	"2"	"Long"	5.7
"2002"	2002	1988	"Gazipur"	"2002-Gazipur"	"BR23"	"2"	"Long"	3.042882558
"2002"	2002	1988	"Rajshahi"	"2002-Rajshahi"	"BR23"	"2"	"Long"	4.519
"2002"	2002	1988	"Rangpur"	"2002-Rangpur"	"BR23"	"2"	"Long"	3.13
"2002"	2002	1988	"Satkhira"	"2002-Satkhira"	"BR23"	"2"	"Long"	5.675232558
"2002"	2002	1988	"Sonagazi"	"2002-Sonagazi"	"BR23"	"2"	"Long"	4.69155814
"2003"	2003	1988	"Barisal"	"2003-Barisal"	"BR23"	"2"	"Long"	6.978604651
"2003"	2003	1988	"Comilla"	"2003-Comilla"	"BR23"	"2"	"Long"	2.681401163
"2003"	2003	1988	"Gazipur"	"2003-Gazipur"	"BR23"	"2"	"Long"	3.830930233
"2003"	2003	1988	"Rajshahi"	"2003-Rajshahi"	"BR23"	"2"	"Long"	4.3695
"2003"	2003	1988	"Rangpur"	"2003-Rangpur"	"BR23"	"2"	"Long"	2.721860465
"2003"	2003	1988	"Satkhira"	"2003-Satkhira"	"BR23"	"2"	"Long"	6.313488372
"2003"	2003	1988	"Sonagazi"	"2003-Sonagazi"	"BR23"	"2"	"Long"	4.93
"2004"	2004	1988	"Barisal"	"2004-Barisal"	"BR23"	"2"	"Long"	4.079365205
"2004"	2004	1988	"Comilla"	"2004-Comilla"	"BR23"	"2"	"Long"	2.460930233
"2004"	2004	1988	"Gazipur"	"2004-Gazipur"	"BR23"	"2"	"Long"	4.395523256
"2004"	2004	1988	"Rajshahi"	"2004-Rajshahi"	"BR23"	"2"	"Long"	3.443023256
"2004"	2004	1988	"Rangpur"	"2004-Rangpur"	"BR23"	"2"	"Long"	2.29
"2004"	2004	1988	"Satkhira"	"2004-Satkhira"	"BR23"	"2"	"Long"	5.781395349
"2004"	2004	1988	"Sonagazi"	"2004-Sonagazi"	"BR23"	"2"	"Long"	4.408033827
"2004"	2004	1988	"Kustia"	"2004-Kustia"	"BR23"	"2"	"Long"	3.189583721
"2005"	2005	1988	"Barisal"	"2005-Barisal"	"BR23"	"2"	"Long"	4.087
"2005"	2005	1988	"Comilla"	"2005-Comilla"	"BR23"	"2"	"Long"	3.3
"2005"	2005	1988	"Gazipur"	"2005-Gazipur"	"BR23"	"2"	"Long"	4.204883721
"2005"	2005	1988	"Rajshahi"	"2005-Rajshahi"	"BR23"	"2"	"Long"	5.042790698
"2005"	2005	1988	"Rangpur"	"2005-Rangpur"	"BR23"	"2"	"Long"	2.14070604
"2005"	2005	1988	"Satkhira"	"2005-Satkhira"	"BR23"	"2"	"Long"	5.709767442
"2005"	2005	1988	"Sonagazi"	"2005-Sonagazi"	"BR23"	"2"	"Long"	4.1
"2005"	2005	1988	"Kustia"	"2005-Kustia"	"BR23"	"2"	"Long"	4.571651163
"2006"	2006	1988	"Barisal"	"2006-Barisal"	"BR23"	"2"	"Long"	3.185
"2006"	2006	1988	"Comilla"	"2006-Comilla"	"BR23"	"2"	"Long"	0.97
"2006"	2006	1988	"Gazipur"	"2006-Gazipur"	"BR23"	"2"	"Long"	4.6
"2006"	2006	1988	"Rajshahi"	"2006-Rajshahi"	"BR23"	"2"	"Long"	5.1
"2006"	2006	1988	"Rangpur"	"2006-Rangpur"	"BR23"	"2"	"Long"	3.5
"2006"	2006	1988	"Satkhira"	"2006-Satkhira"	"BR23"	"2"	"Long"	4.6
"2006"	2006	1988	"Sonagazi"	"2006-Sonagazi"	"BR23"	"2"	"Long"	3.88
"2006"	2006	1988	"Kustia"	"2006-Kustia"	"BR23"	"2"	"Long"	5
"2007"	2007	1988	"Barisal"	"2007-Barisal"	"BR23"	"2"	"Long"	4.438
"2007"	2007	1988	"Comilla"	"2007-Comilla"	"BR23"	"2"	"Long"	3.76
"2007"	2007	1988	"Gazipur"	"2007-Gazipur"	"BR23"	"2"	"Long"	2.6
"2007"	2007	1988	"Rajshahi"	"2007-Rajshahi"	"BR23"	"2"	"Long"	4.1
"2007"	2007	1988	"Rangpur"	"2007-Rangpur"	"BR23"	"2"	"Long"	3.15
"2007"	2007	1988	"Satkhira"	"2007-Satkhira"	"BR23"	"2"	"Long"	2.5
"2007"	2007	1988	"Sonagazi"	"2007-Sonagazi"	"BR23"	"2"	"Long"	3.1
"2007"	2007	1988	"Kustia"	"2007-Kustia"	"BR23"	"2"	"Long"	4.55
"2008"	2008	1988	"Barisal"	"2008-Barisal"	"BR23"	"2"	"Long"	3.944
"2008"	2008	1988	"Comilla"	"2008-Comilla"	"BR23"	"2"	"Long"	2.61
"2008"	2008	1988	"Gazipur"	"2008-Gazipur"	"BR23"	"2"	"Long"	4.6
"2008"	2008	1988	"Rajshahi"	"2008-Rajshahi"	"BR23"	"2"	"Long"	3.84
"2008"	2008	1988	"Rangpur"	"2008-Rangpur"	"BR23"	"2"	"Long"	2.8
"2008"	2008	1988	"Satkhira"	"2008-Satkhira"	"BR23"	"2"	"Long"	3.55
"2008"	2008	1988	"Sonagazi"	"2008-Sonagazi"	"BR23"	"2"	"Long"	1.85
"2008"	2008	1988	"Kustia"	"2008-Kustia"	"BR23"	"2"	"Long"	4.675
"2009"	2009	1988	"Barisal"	"2009-Barisal"	"BR23"	"2"	"Long"	3.45
"2009"	2009	1988	"Comilla"	"2009-Comilla"	"BR23"	"2"	"Long"	3.85
"2009"	2009	1988	"Gazipur"	"2009-Gazipur"	"BR23"	"2"	"Long"	4.45
"2009"	2009	1988	"Rajshahi"	"2009-Rajshahi"	"BR23"	"2"	"Long"	3.97
"2009"	2009	1988	"Rangpur"	"2009-Rangpur"	"BR23"	"2"	"Long"	1.55
"2009"	2009	1988	"Satkhira"	"2009-Satkhira"	"BR23"	"2"	"Long"	3.025
"2009"	2009	1988	"Sonagazi"	"2009-Sonagazi"	"BR23"	"2"	"Long"	1.2
"2009"	2009	1988	"Kustia"	"2009-Kustia"	"BR23"	"2"	"Long"	4.8
"2010"	2010	1988	"Barisal"	"2010-Barisal"	"BR23"	"2"	"Long"	3.32
"2010"	2010	1988	"Comilla"	"2010-Comilla"	"BR23"	"2"	"Long"	5.09
"2010"	2010	1988	"Gazipur"	"2010-Gazipur"	"BR23"	"2"	"Long"	3.8
"2010"	2010	1988	"Rajshahi"	"2010-Rajshahi"	"BR23"	"2"	"Long"	4.485
"2010"	2010	1988	"Rangpur"	"2010-Rangpur"	"BR23"	"2"	"Long"	2.2
"2010"	2010	1988	"Satkhira"	"2010-Satkhira"	"BR23"	"2"	"Long"	3.2875
"2010"	2010	1988	"Sonagazi"	"2010-Sonagazi"	"BR23"	"2"	"Long"	4.32
"2010"	2010	1988	"Kustia"	"2010-Kustia"	"BR23"	"2"	"Long"	6
"2011"	2011	1988	"Barisal"	"2011-Barisal"	"BR23"	"2"	"Long"	3.19
"2011"	2011	1988	"Comilla"	"2011-Comilla"	"BR23"	"2"	"Long"	4.58
"2011"	2011	1988	"Gazipur"	"2011-Gazipur"	"BR23"	"2"	"Long"	5.05
"2011"	2011	1988	"Rajshahi"	"2011-Rajshahi"	"BR23"	"2"	"Long"	5
"2011"	2011	1988	"Rangpur"	"2011-Rangpur"	"BR23"	"2"	"Long"	3.5
"2011"	2011	1988	"Satkhira"	"2011-Satkhira"	"BR23"	"2"	"Long"	3.15625
"2011"	2011	1988	"Sonagazi"	"2011-Sonagazi"	"BR23"	"2"	"Long"	6
"2011"	2011	1988	"Kustia"	"2011-Kustia"	"BR23"	"2"	"Long"	5.18
"2012"	2012	1988	"Kustia"	"2012-Kustia"	"BR23"	"2"	"Long"	4.71
"2012"	2012	1988	"Sonagazi"	"2012-Sonagazi"	"BR23"	"2"	"Long"	4.37
"2012"	2012	1988	"Comilla"	"2012-Comilla"	"BR23"	"2"	"Long"	5.35
"2012"	2012	1988	"Gazipur"	"2012-Gazipur"	"BR23"	"2"	"Long"	3.859
"2012"	2012	1988	"Rajshahi"	"2012-Rajshahi"	"BR23"	"2"	"Long"	2.54
"2012"	2012	1988	"Rangpur"	"2012-Rangpur"	"BR23"	"2"	"Long"	2.54
"2012"	2012	1988	"Satkhira"	"2012-Satkhira"	"BR23"	"2"	"Long"	3.29475
"2012"	2012	1988	"Barisal"	"2012-Barisal"	"BR23"	"2"	"Long"	3.39
"2013"	2013	1988	"Kustia"	"2013-Kustia"	"BR23"	"2"	"Long"	4
"2013"	2013	1988	"Sonagazi"	"2013-Sonagazi"	"BR23"	"2"	"Long"	4.23
"2013"	2013	1988	"Comilla"	"2013-Comilla"	"BR23"	"2"	"Long"	4.7
"2013"	2013	1988	"Gazipur"	"2013-Gazipur"	"BR23"	"2"	"Long"	4.56
"2013"	2013	1988	"Rajshahi"	"2013-Rajshahi"	"BR23"	"2"	"Long"	3.44
"2013"	2013	1988	"Rangpur"	"2013-Rangpur"	"BR23"	"2"	"Long"	1.8
"2013"	2013	1988	"Barisal"	"2013-Barisal"	"BR23"	"2"	"Long"	4.94
"2014"	2014	1988	"Kustia"	"2014-Kustia"	"BR23"	"2"	"Long"	5.1
"2014"	2014	1988	"Sonagazi"	"2014-Sonagazi"	"BR23"	"2"	"Long"	4.12
"2014"	2014	1988	"Comilla"	"2014-Comilla"	"BR23"	"2"	"Long"	4.91
"2014"	2014	1988	"Gazipur"	"2014-Gazipur"	"BR23"	"2"	"Long"	5.5
"2014"	2014	1988	"Rajshahi"	"2014-Rajshahi"	"BR23"	"2"	"Long"	5.244186047
"2014"	2014	1988	"Rangpur"	"2014-Rangpur"	"BR23"	"2"	"Long"	3.4
"2014"	2014	1988	"Satkhira"	"2014-Satkhira"	"BR23"	"2"	"Long"	5.03
"2014"	2014	1988	"Bhanga"	"2014-Bhanga"	"BR23"	"2"	"Long"	4.375
"2015"	2015	1988	"Kustia"	"2015-Kustia"	"BR23"	"2"	"Long"	4.12
"2015"	2015	1988	"Sonagazi"	"2015-Sonagazi"	"BR23"	"2"	"Long"	5.42944186
"2015"	2015	1988	"Comilla"	"2015-Comilla"	"BR23"	"2"	"Long"	6.213752512
"2015"	2015	1988	"Gazipur"	"2015-Gazipur"	"BR23"	"2"	"Long"	5.326760271
"2015"	2015	1988	"Rajshahi"	"2015-Rajshahi"	"BR23"	"2"	"Long"	4.699534884
"2015"	2015	1988	"Rangpur"	"2015-Rangpur"	"BR23"	"2"	"Long"	0.65
"2015"	2015	1988	"Satkhira"	"2015-Satkhira"	"BR23"	"2"	"Long"	4.854263566
"2015"	2015	1988	"Bhanga"	"2015-Bhanga"	"BR23"	"2"	"Long"	5.5
"2001"	2001	1988	"Barisal"	"2001-Barisal"	"BR23"	"3"	"Long"	4.85
"2001"	2001	1988	"Comilla"	"2001-Comilla"	"BR23"	"3"	"Long"	5.678604651
"2001"	2001	1988	"Gazipur"	"2001-Gazipur"	"BR23"	"3"	"Long"	4.470930233
"2001"	2001	1988	"Rajshahi"	"2001-Rajshahi"	"BR23"	"3"	"Long"	4.12
"2001"	2001	1988	"Rangpur"	"2001-Rangpur"	"BR23"	"3"	"Long"	2.965203488
"2001"	2001	1988	"Satkhira"	"2001-Satkhira"	"BR23"	"3"	"Long"	5.817209302
"2001"	2001	1988	"Sonagazi"	"2001-Sonagazi"	"BR23"	"3"	"Long"	4.470930233
"2002"	2002	1988	"Barisal"	"2002-Barisal"	"BR23"	"3"	"Long"	5.15
"2002"	2002	1988	"Comilla"	"2002-Comilla"	"BR23"	"3"	"Long"	5.5
"2002"	2002	1988	"Gazipur"	"2002-Gazipur"	"BR23"	"3"	"Long"	3.8017
"2002"	2002	1988	"Rajshahi"	"2002-Rajshahi"	"BR23"	"3"	"Long"	4.419
"2002"	2002	1988	"Rangpur"	"2002-Rangpur"	"BR23"	"3"	"Long"	3.15
"2002"	2002	1988	"Satkhira"	"2002-Satkhira"	"BR23"	"3"	"Long"	5.341395349
"2002"	2002	1988	"Sonagazi"	"2002-Sonagazi"	"BR23"	"3"	"Long"	4.769930233
"2003"	2003	1988	"Barisal"	"2003-Barisal"	"BR23"	"3"	"Long"	6.300174419
"2003"	2003	1988	"Comilla"	"2003-Comilla"	"BR23"	"3"	"Long"	2.319037209
"2003"	2003	1988	"Gazipur"	"2003-Gazipur"	"BR23"	"3"	"Long"	4.47955814
"2003"	2003	1988	"Rajshahi"	"2003-Rajshahi"	"BR23"	"3"	"Long"	4.2695
"2003"	2003	1988	"Rangpur"	"2003-Rangpur"	"BR23"	"3"	"Long"	2.780406977
"2003"	2003	1988	"Satkhira"	"2003-Satkhira"	"BR23"	"3"	"Long"	6.293023256
"2003"	2003	1988	"Sonagazi"	"2003-Sonagazi"	"BR23"	"3"	"Long"	2.6
"2004"	2004	1988	"Barisal"	"2004-Barisal"	"BR23"	"3"	"Long"	3.461703741
"2004"	2004	1988	"Comilla"	"2004-Comilla"	"BR23"	"3"	"Long"	2.198976744
"2004"	2004	1988	"Gazipur"	"2004-Gazipur"	"BR23"	"3"	"Long"	4.335
"2004"	2004	1988	"Rajshahi"	"2004-Rajshahi"	"BR23"	"3"	"Long"	3.82744186
"2004"	2004	1988	"Rangpur"	"2004-Rangpur"	"BR23"	"3"	"Long"	1.94
"2004"	2004	1988	"Satkhira"	"2004-Satkhira"	"BR23"	"3"	"Long"	5.11627907
"2004"	2004	1988	"Sonagazi"	"2004-Sonagazi"	"BR23"	"3"	"Long"	4.185200846
"2004"	2004	1988	"Kustia"	"2004-Kustia"	"BR23"	"3"	"Long"	3.226186047
"2005"	2005	1988	"Barisal"	"2005-Barisal"	"BR23"	"3"	"Long"	5.649
"2005"	2005	1988	"Comilla"	"2005-Comilla"	"BR23"	"3"	"Long"	3.548837209
"2005"	2005	1988	"Gazipur"	"2005-Gazipur"	"BR23"	"3"	"Long"	4.4
"2005"	2005	1988	"Rajshahi"	"2005-Rajshahi"	"BR23"	"3"	"Long"	4.969534884
"2005"	2005	1988	"Rangpur"	"2005-Rangpur"	"BR23"	"3"	"Long"	1.578097576
"2005"	2005	1988	"Satkhira"	"2005-Satkhira"	"BR23"	"3"	"Long"	5.709767442
"2005"	2005	1988	"Sonagazi"	"2005-Sonagazi"	"BR23"	"3"	"Long"	4.45
"2005"	2005	1988	"Kustia"	"2005-Kustia"	"BR23"	"3"	"Long"	4.210116279
"2006"	2006	1988	"Barisal"	"2006-Barisal"	"BR23"	"3"	"Long"	3.565
"2006"	2006	1988	"Comilla"	"2006-Comilla"	"BR23"	"3"	"Long"	0.86
"2006"	2006	1988	"Gazipur"	"2006-Gazipur"	"BR23"	"3"	"Long"	4.65
"2006"	2006	1988	"Rajshahi"	"2006-Rajshahi"	"BR23"	"3"	"Long"	4.1
"2006"	2006	1988	"Rangpur"	"2006-Rangpur"	"BR23"	"3"	"Long"	2.8
"2006"	2006	1988	"Satkhira"	"2006-Satkhira"	"BR23"	"3"	"Long"	4.6
"2006"	2006	1988	"Sonagazi"	"2006-Sonagazi"	"BR23"	"3"	"Long"	4.12
"2006"	2006	1988	"Kustia"	"2006-Kustia"	"BR23"	"3"	"Long"	4.46
"2007"	2007	1988	"Barisal"	"2007-Barisal"	"BR23"	"3"	"Long"	5.158
"2007"	2007	1988	"Comilla"	"2007-Comilla"	"BR23"	"3"	"Long"	3.95
"2007"	2007	1988	"Gazipur"	"2007-Gazipur"	"BR23"	"3"	"Long"	3.45
"2007"	2007	1988	"Rajshahi"	"2007-Rajshahi"	"BR23"	"3"	"Long"	5
"2007"	2007	1988	"Rangpur"	"2007-Rangpur"	"BR23"	"3"	"Long"	3.15
"2007"	2007	1988	"Satkhira"	"2007-Satkhira"	"BR23"	"3"	"Long"	3
"2007"	2007	1988	"Sonagazi"	"2007-Sonagazi"	"BR23"	"3"	"Long"	3.35
"2007"	2007	1988	"Kustia"	"2007-Kustia"	"BR23"	"3"	"Long"	3.8
"2008"	2008	1988	"Barisal"	"2008-Barisal"	"BR23"	"3"	"Long"	4.154
"2008"	2008	1988	"Comilla"	"2008-Comilla"	"BR23"	"3"	"Long"	2.465
"2008"	2008	1988	"Gazipur"	"2008-Gazipur"	"BR23"	"3"	"Long"	4.65
"2008"	2008	1988	"Rajshahi"	"2008-Rajshahi"	"BR23"	"3"	"Long"	3.91
"2008"	2008	1988	"Rangpur"	"2008-Rangpur"	"BR23"	"3"	"Long"	3.5
"2008"	2008	1988	"Satkhira"	"2008-Satkhira"	"BR23"	"3"	"Long"	3.8
"2008"	2008	1988	"Sonagazi"	"2008-Sonagazi"	"BR23"	"3"	"Long"	1.9
"2008"	2008	1988	"Kustia"	"2008-Kustia"	"BR23"	"3"	"Long"	4.5
"2009"	2009	1988	"Barisal"	"2009-Barisal"	"BR23"	"3"	"Long"	3.15
"2009"	2009	1988	"Comilla"	"2009-Comilla"	"BR23"	"3"	"Long"	3.8225
"2009"	2009	1988	"Gazipur"	"2009-Gazipur"	"BR23"	"3"	"Long"	4.2
"2009"	2009	1988	"Rajshahi"	"2009-Rajshahi"	"BR23"	"3"	"Long"	4.455
"2009"	2009	1988	"Rangpur"	"2009-Rangpur"	"BR23"	"3"	"Long"	3.2
"2009"	2009	1988	"Satkhira"	"2009-Satkhira"	"BR23"	"3"	"Long"	3.4
"2009"	2009	1988	"Sonagazi"	"2009-Sonagazi"	"BR23"	"3"	"Long"	1.5
"2009"	2009	1988	"Kustia"	"2009-Kustia"	"BR23"	"3"	"Long"	5.2
"2010"	2010	1988	"Barisal"	"2010-Barisal"	"BR23"	"3"	"Long"	3.57
"2010"	2010	1988	"Comilla"	"2010-Comilla"	"BR23"	"3"	"Long"	5.18
"2010"	2010	1988	"Gazipur"	"2010-Gazipur"	"BR23"	"3"	"Long"	5.675
"2010"	2010	1988	"Rajshahi"	"2010-Rajshahi"	"BR23"	"3"	"Long"	4.3275
"2010"	2010	1988	"Rangpur"	"2010-Rangpur"	"BR23"	"3"	"Long"	3.1
"2010"	2010	1988	"Satkhira"	"2010-Satkhira"	"BR23"	"3"	"Long"	3.6
"2010"	2010	1988	"Sonagazi"	"2010-Sonagazi"	"BR23"	"3"	"Long"	4.23
"2010"	2010	1988	"Kustia"	"2010-Kustia"	"BR23"	"3"	"Long"	5.4
"2011"	2011	1988	"Barisal"	"2011-Barisal"	"BR23"	"3"	"Long"	3.99
"2011"	2011	1988	"Comilla"	"2011-Comilla"	"BR23"	"3"	"Long"	4.48
"2011"	2011	1988	"Gazipur"	"2011-Gazipur"	"BR23"	"3"	"Long"	4.8
"2011"	2011	1988	"Rajshahi"	"2011-Rajshahi"	"BR23"	"3"	"Long"	4.2
"2011"	2011	1988	"Rangpur"	"2011-Rangpur"	"BR23"	"3"	"Long"	2.5
"2011"	2011	1988	"Satkhira"	"2011-Satkhira"	"BR23"	"3"	"Long"	3.5
"2011"	2011	1988	"Sonagazi"	"2011-Sonagazi"	"BR23"	"3"	"Long"	5.8
"2011"	2011	1988	"Kustia"	"2011-Kustia"	"BR23"	"3"	"Long"	5.15
"2012"	2012	1988	"Kustia"	"2012-Kustia"	"BR23"	"3"	"Long"	4.74
"2012"	2012	1988	"Sonagazi"	"2012-Sonagazi"	"BR23"	"3"	"Long"	4.08
"2012"	2012	1988	"Comilla"	"2012-Comilla"	"BR23"	"3"	"Long"	5.48
"2012"	2012	1988	"Gazipur"	"2012-Gazipur"	"BR23"	"3"	"Long"	4.678
"2012"	2012	1988	"Rajshahi"	"2012-Rajshahi"	"BR23"	"3"	"Long"	3.16
"2012"	2012	1988	"Rangpur"	"2012-Rangpur"	"BR23"	"3"	"Long"	3.16
"2012"	2012	1988	"Satkhira"	"2012-Satkhira"	"BR23"	"3"	"Long"	3.8945
"2012"	2012	1988	"Barisal"	"2012-Barisal"	"BR23"	"3"	"Long"	3.87
"2013"	2013	1988	"Kustia"	"2013-Kustia"	"BR23"	"3"	"Long"	4.4
"2013"	2013	1988	"Sonagazi"	"2013-Sonagazi"	"BR23"	"3"	"Long"	4.15
"2013"	2013	1988	"Comilla"	"2013-Comilla"	"BR23"	"3"	"Long"	4.27
"2013"	2013	1988	"Gazipur"	"2013-Gazipur"	"BR23"	"3"	"Long"	4.6
"2013"	2013	1988	"Rajshahi"	"2013-Rajshahi"	"BR23"	"3"	"Long"	2.56
"2013"	2013	1988	"Rangpur"	"2013-Rangpur"	"BR23"	"3"	"Long"	1.65
"2013"	2013	1988	"Barisal"	"2013-Barisal"	"BR23"	"3"	"Long"	4.68
"2014"	2014	1988	"Kustia"	"2014-Kustia"	"BR23"	"3"	"Long"	5.46
"2014"	2014	1988	"Sonagazi"	"2014-Sonagazi"	"BR23"	"3"	"Long"	3.9
"2014"	2014	1988	"Comilla"	"2014-Comilla"	"BR23"	"3"	"Long"	5.12
"2014"	2014	1988	"Gazipur"	"2014-Gazipur"	"BR23"	"3"	"Long"	5
"2014"	2014	1988	"Rajshahi"	"2014-Rajshahi"	"BR23"	"3"	"Long"	5.420906977
"2014"	2014	1988	"Rangpur"	"2014-Rangpur"	"BR23"	"3"	"Long"	3.4
"2014"	2014	1988	"Satkhira"	"2014-Satkhira"	"BR23"	"3"	"Long"	5.15
"2014"	2014	1988	"Bhanga"	"2014-Bhanga"	"BR23"	"3"	"Long"	4.625
"2015"	2015	1988	"Kustia"	"2015-Kustia"	"BR23"	"3"	"Long"	4.32
"2015"	2015	1988	"Sonagazi"	"2015-Sonagazi"	"BR23"	"3"	"Long"	4.922344186
"2015"	2015	1988	"Comilla"	"2015-Comilla"	"BR23"	"3"	"Long"	5.74528663
"2015"	2015	1988	"Gazipur"	"2015-Gazipur"	"BR23"	"3"	"Long"	5.734184896
"2015"	2015	1988	"Rajshahi"	"2015-Rajshahi"	"BR23"	"3"	"Long"	5.243023256
"2015"	2015	1988	"Rangpur"	"2015-Rangpur"	"BR23"	"3"	"Long"	1.55
"2015"	2015	1988	"Satkhira"	"2015-Satkhira"	"BR23"	"3"	"Long"	3.814341085
"2015"	2015	1988	"Bhanga"	"2015-Bhanga"	"BR23"	"3"	"Long"	5.375
"2001"	2001	1992	"Barisal"	"2001-Barisal"	"BR25"	"1"	"Medium"	4.27
"2001"	2001	1992	"Comilla"	"2001-Comilla"	"BR25"	"1"	"Medium"	4.661744186
"2001"	2001	1992	"Gazipur"	"2001-Gazipur"	"BR25"	"1"	"Medium"	4.761627907
"2001"	2001	1992	"Rajshahi"	"2001-Rajshahi"	"BR25"	"1"	"Medium"	3.95
"2001"	2001	1992	"Rangpur"	"2001-Rangpur"	"BR25"	"1"	"Medium"	3.16502907
"2001"	2001	1992	"Satkhira"	"2001-Satkhira"	"BR25"	"1"	"Medium"	4.986337209
"2001"	2001	1992	"Sonagazi"	"2001-Sonagazi"	"BR25"	"1"	"Medium"	4.645348837
"2002"	2002	1992	"Barisal"	"2002-Barisal"	"BR25"	"1"	"Medium"	4.7
"2002"	2002	1992	"Comilla"	"2002-Comilla"	"BR25"	"1"	"Medium"	4.2
"2002"	2002	1992	"Gazipur"	"2002-Gazipur"	"BR25"	"1"	"Medium"	4.066050814
"2002"	2002	1992	"Rajshahi"	"2002-Rajshahi"	"BR25"	"1"	"Medium"	4.249
"2002"	2002	1992	"Rangpur"	"2002-Rangpur"	"BR25"	"1"	"Medium"	2.86
"2002"	2002	1992	"Satkhira"	"2002-Satkhira"	"BR25"	"1"	"Medium"	4.805232558
"2002"	2002	1992	"Sonagazi"	"2002-Sonagazi"	"BR25"	"1"	"Medium"	4.944348837
"2003"	2003	1992	"Barisal"	"2003-Barisal"	"BR25"	"1"	"Medium"	6.828488372
"2003"	2003	1992	"Comilla"	"2003-Comilla"	"BR25"	"1"	"Medium"	4.168918605
"2003"	2003	1992	"Gazipur"	"2003-Gazipur"	"BR25"	"1"	"Medium"	2.431976744
"2003"	2003	1992	"Rajshahi"	"2003-Rajshahi"	"BR25"	"1"	"Medium"	4.0995
"2003"	2003	1992	"Rangpur"	"2003-Rangpur"	"BR25"	"1"	"Medium"	3.47005814
"2003"	2003	1992	"Satkhira"	"2003-Satkhira"	"BR25"	"1"	"Medium"	5.16744186
"2003"	2003	1992	"Sonagazi"	"2003-Sonagazi"	"BR25"	"1"	"Medium"	3.88
"2004"	2004	1992	"Barisal"	"2004-Barisal"	"BR25"	"1"	"Medium"	3.393579373
"2004"	2004	1992	"Comilla"	"2004-Comilla"	"BR25"	"1"	"Medium"	2.117825581
"2004"	2004	1992	"Gazipur"	"2004-Gazipur"	"BR25"	"1"	"Medium"	2.390988372
"2004"	2004	1992	"Rajshahi"	"2004-Rajshahi"	"BR25"	"1"	"Medium"	3.353488372
"2004"	2004	1992	"Rangpur"	"2004-Rangpur"	"BR25"	"1"	"Medium"	2.9
"2004"	2004	1992	"Satkhira"	"2004-Satkhira"	"BR25"	"1"	"Medium"	5.034418605
"2004"	2004	1992	"Sonagazi"	"2004-Sonagazi"	"BR25"	"1"	"Medium"	5.098837209
"2004"	2004	1992	"Kustia"	"2004-Kustia"	"BR25"	"1"	"Medium"	2.92825814
